language,languageLabel,languageDescription
http://www.wikidata.org/entity/Q6429269,Kongu Tamil,"dialect of Tamil spoken in Western Tamil Nadu and border areas of Kerala, Karnataka"
http://www.wikidata.org/entity/Q6433240,Sambalpuri,"Indo-Aryan language spoken in western Odisha, India"
http://www.wikidata.org/entity/Q6399808,Khalkha Mongolian,de facto standard dialect of Mongolian
http://www.wikidata.org/entity/Q7033959,Yue Chinese,primary branch of Chinese spoken in southern China
http://www.wikidata.org/entity/Q65455884,Marwari,"Indo-Aryan language spoken essentially in Northwestern India, also in Nepal"
http://www.wikidata.org/entity/Q55633582,South Levantine Arabic,subdivision of Levantine Arabic
http://www.wikidata.org/entity/Q8054983,Yongbei Zhuang,language
http://www.wikidata.org/entity/Q56312,Marwari,"language spoken in Rajasthan, India"
http://www.wikidata.org/entity/Q5414796,Dholuo,Nilotic language spoken in Kenya and Tanzania
http://www.wikidata.org/entity/Q5061628,Central Pashto,language
http://www.wikidata.org/entity/Q10961696,Congo Swahili,Swahili dialect spoken in the DRC
http://www.wikidata.org/entity/Q5575236,Goan Konkani,language
http://www.wikidata.org/entity/Q110276967,Ciamis Sundanese,Sundanese varieties of Indonesia
http://www.wikidata.org/entity/Q3513637,Iranian Persian,dialect of the Persian language
http://www.wikidata.org/entity/Q3502294,Nimadi,language from the Nimar region of Madhya Pradesh
http://www.wikidata.org/entity/Q3502234,Northern Khmer,Khmer dialect of northeastern Thailand
http://www.wikidata.org/entity/Q12642194,Northern Pashto,language
http://www.wikidata.org/entity/Q11732445,Merwari,language
http://www.wikidata.org/entity/Q12361545,Standard Estonian,normative form of the Estonian language
http://www.wikidata.org/entity/Q12953177,Eastern Tamang,Sino-Tibetan language
http://www.wikidata.org/entity/Q22809485,North Levantine Arabic,dialect of Levantine Arabic
http://www.wikidata.org/entity/Q17993025,Standard Persian,standard form of Persian language
http://www.wikidata.org/entity/Q16112855,Southern Pashto,Pashto dialect
http://www.wikidata.org/entity/Q15065,Malaysian Malay,Standard Malay dialect spoken in Malaysia
http://www.wikidata.org/entity/Q25268,Afroasiatic,large language family of Africa and West Asia
